Flag Name,Flag Value,Flag PTS,Flag Location,Category (see tab #2),displayInterval,Author,isKing,Description,UpdateCmd,How to
voip02,ggg,1,172.28.71.10,net,Null,Martin Lemay,FALSE,TBD,Null,
voip03,hhh,1,172.28.71.10,net,Null,Martin Lemay,FALSE,TBD,Null,
chroot04,iii,1,172.28.71.10,expl,Null,Martin Lemay,FALSE,TBD,Null,
chroot05,jjj,1,172.28.71.10,expl,Null,Martin Lemay,FALSE,TBD,Null,
chroot06,kkk,1,172.28.71.10,expl,Null,Martin Lemay,FALSE,TBD,Null,
virus01,lll,1,172.28.71.10,for,Null,Franck Desert,FALSE,TBD,Null,
virus02,mmm,1,172.28.71.10,for,Null,Franck Desert,FALSE,TBD,Null,
virus03,nnn,1,172.28.71.10,for,Null,Franck Desert,FALSE,TBD,Null,
virus04,ooo,1,172.28.71.10,for,Null,Franck Desert,FALSE,TBD,Null,
virus05,ppp,1,172.28.71.10,for,Null,Franck Desert,FALSE,TBD,Null,
chroot07,qqq,1,172.28.72.5,expl,Null,Jessy Campos,FALSE,TBD,Null,Chroot escaping using python
win01,rrr,1,172.28.72.101,expl,Null,Stephane Sigmen,FALSE,TBD,Null,
win02,sss,1,172.28.72.101,expl,Null,Stephane Sigmen,FALSE,TBD,Null,
win03,ttt,1,172.28.72.101,expl,Null,Stephane Sigmen,FALSE,TBD,Null,
misc01,FLAG-yO82whKhkBxTzoP,1,172.28.71.10,misc,Null,HF Crew,FALSE,A flag in the 30 second animation,Null,
exp01,FLAG-47ed9186b75ff77d0ed437b7409195e0df8bf58a,3,172.28.72.7,expl,Null,Jessy Campos,FALSE,"You stole a TokenGen, Reverse it and access the system",Null,Reverse le dump avr fourni pour générer un token valide
tri01,tri01,1,172.28.71.10,tri,24 hours,HF Crew,FALSE,Chuck Norris Question #1,Null,
tri02,tri02,1,172.28.71.10,tri,24 hours,HF Crew,FALSE,Chuck Norris Question #2,Null,
tri03,tri03,1,172.28.71.10,tri,24 hours,HF Crew,FALSE,Chuck Norris Question #3,Null,
tri04,tri04,1,172.28.71.10,tri,24 hours,HF Crew,FALSE,Chuck Norris Question #4,Null,
tri05,tri05,1,172.28.71.10,tri,24 hours,HF Crew,FALSE,Chuck Norris Question #5,Null,
tri06,tri06,1,172.28.71.10,tri,24 hours,HF Crew,FALSE,Chuck Norris Question #6,Null,
tri07,tri07,1,172.28.71.10,tri,24 hours,HF Crew,FALSE,Chuck Norris Question #7,Null,
tri08,tri08,1,172.28.71.10,tri,24 hours,HF Crew,FALSE,Chuck Norris Question #8,Null,
